ticker,holdings_date,rank,holding_name,weight_pct,top5_weight_sum_pct,status,source_url,note
395160,2026-08-11,1,삼성전자,26.32,94.39,official,https://www.samsungfund.com/etf/product/view.do?id=2ETFE9,"구성종목 비중; 가격 지표 기준일(2026-07-31)과 별도 표기"
395160,2026-08-11,2,SK스퀘어,23.53,94.39,official,https://www.samsungfund.com/etf/product/view.do?id=2ETFE9,"구성종목 비중"
395160,2026-08-11,3,SK하이닉스,22.90,94.39,official,https://www.samsungfund.com/etf/product/view.do?id=2ETFE9,"구성종목 비중"
395160,2026-08-11,4,삼성전기,19.25,94.39,official,https://www.samsungfund.com/etf/product/view.do?id=2ETFE9,"구성종목 비중"
395160,2026-08-11,5,한미반도체,2.39,94.39,official,https://www.samsungfund.com/etf/product/view.do?id=2ETFE9,"구성종목 비중"
0093A0,2026-08-11,1,삼성전자,14.22,60.70,official,https://www.riseetf.co.kr/prod/finderDetail/44J0,"TOP10 구성 종목; 가격 지표 기준일(2026-07-31)과 별도 표기"
0093A0,2026-08-11,2,제주반도체,12.93,60.70,official,https://www.riseetf.co.kr/prod/finderDetail/44J0,"TOP10 구성 종목"
0093A0,2026-08-11,3,ISC,11.48,60.70,official,https://www.riseetf.co.kr/prod/finderDetail/44J0,"TOP10 구성 종목"
0093A0,2026-08-11,4,SK하이닉스,11.15,60.70,official,https://www.riseetf.co.kr/prod/finderDetail/44J0,"TOP10 구성 종목"
0093A0,2026-08-11,5,한미반도체,10.92,60.70,official,https://www.riseetf.co.kr/prod/finderDetail/44J0,"TOP10 구성 종목"
491010,2026-08-11,1,Vertiv Holdings Co,9.38,33.78,official,https://www.tigeretf.com/ko/product/search/detail/index.do?ksdFund=KR7491010005,"자산구성 비중; 가격 지표 기준일(2026-07-31)과 별도 표기"
491010,2026-08-11,2,Bloom Energy Corp,9.22,33.78,official,https://www.tigeretf.com/ko/product/search/detail/index.do?ksdFund=KR7491010005,"자산구성 비중"
491010,2026-08-11,3,Advanced Micro Devices Inc,6.07,33.78,official,https://www.tigeretf.com/ko/product/search/detail/index.do?ksdFund=KR7491010005,"자산구성 비중"
491010,2026-08-11,4,Siemens Energy AG,4.70,33.78,official,https://www.tigeretf.com/ko/product/search/detail/index.do?ksdFund=KR7491010005,"자산구성 비중"
491010,2026-08-11,5,Cameco Corp,4.41,33.78,official,https://www.tigeretf.com/ko/product/search/detail/index.do?ksdFund=KR7491010005,"자산구성 비중"
446770,,, ,,,pending,https://www.aceetf.co.kr/cs/notice/5823,"공식 리밸런싱 공시는 확인; 최신 보유종목 원문 수집 대기"
