match_id,candidate_id,notice_evidence_id,event_id,ticker,candidate_source_id,krx_notice_source_id,match_rule_version,match_status,match_reason,created_at,updated_at,note
krx-notice-match:000a09f2015b39ff,candidate:1a10bb14c98450bd79dd,krx-notice-evidence:076aaa142f1c83e3,,0219E0,issuer:kodex:notice:20260728:monthend,krx:kind:distribution_notice:20260729:20260729002071,1,amount_and_schedule_matched,ticker_exact_and_distribution_amount_equal,2026-08-21T03:33:15+00:00,2026-08-21T03:33:15+00:00,운용사 후보 금액과 KRX KIND 일괄공시 금액이 일치. 이 증거만으로는 분배락 적용일·기준가격이 없어 verified 이벤트를 생성하지 않음.
krx-notice-match:0104ddbd2ca3e0f0,candidate:3e3b3c2cad2e7399f259,krx-notice-evidence:d330ced8d62996ad,,491620,issuer:rise:notice:20260728:monthend,krx:kind:distribution_notice:20260729:20260729000622,1,amount_and_schedule_matched,ticker_exact_and_distribution_amount_equal,2026-08-21T03:33:15+00:00,2026-08-21T03:33:15+00:00,운용사 후보 금액과 KRX KIND 일괄공시 금액이 일치. 이 증거만으로는 분배락 적용일·기준가격이 없어 verified 이벤트를 생성하지 않음.
krx-notice-match:01a715c7b41e9532,candidate:739fe2bfedb21c3522e4,krx-notice-evidence:92887a658664bd98,,0041D0,issuer:kodex:notice:20260728:monthend,krx:kind:distribution_notice:20260729:20260729002071,1,amount_and_schedule_matched,ticker_exact_and_distribution_amount_equal,2026-08-21T03:33:15+00:00,2026-08-21T03:33:15+00:00,운용사 후보 금액과 KRX KIND 일괄공시 금액이 일치. 이 증거만으로는 분배락 적용일·기준가격이 없어 verified 이벤트를 생성하지 않음.
krx-notice-match:02848d5692b1fb8a,,krx-notice-evidence:8b9fa999d6a65c15,,458760,,krx:kind:distribution_notice:20260729:20260729000622,1,unmatched,no_issuer_candidate_with_equal_distribution_amount,2026-08-21T03:33:15+00:00,2026-08-21T03:33:15+00:00,일괄공시 단독으로는 이벤트를 verified로 승격하지 않음.
krx-notice-match:02c3c19b004b351d,,krx-notice-evidence:4f586f8d3ca28053,,497570,,krx:kind:distribution_notice:20260729:20260729000622,1,unmatched,no_issuer_candidate_with_equal_distribution_amount,2026-08-21T03:33:15+00:00,2026-08-21T03:33:15+00:00,일괄공시 단독으로는 이벤트를 verified로 승격하지 않음.
krx-notice-match:02f7e52e274c73c8,,krx-notice-evidence:1321dd7069316259,,277640,,krx:kind:distribution_notice:20260729:20260729000622,1,unmatched,no_issuer_candidate_with_equal_distribution_amount,2026-08-21T03:33:15+00:00,2026-08-21T03:33:15+00:00,일괄공시 단독으로는 이벤트를 verified로 승격하지 않음.
krx-notice-match:03ed5ab793d9d2f1,,krx-notice-evidence:d5ef6516fec54b02,,497880,,krx:kind:distribution_notice:20260729:20260729002071,1,unmatched,no_issuer_candidate_with_equal_distribution_amount,2026-08-21T03:33:15+00:00,2026-08-21T03:33:15+00:00,일괄공시 단독으로는 이벤트를 verified로 승격하지 않음.
krx-notice-match:0513452da1f21198,candidate:37db3a8079601d550033,krx-notice-evidence:6d9de4dd971aa010,,091180,issuer:kodex:notice:20260728:monthend,krx:kind:distribution_notice:20260729:20260729002071,1,amount_and_schedule_matched,ticker_exact_and_distribution_amount_equal,2026-08-21T03:33:15+00:00,2026-08-21T03:33:15+00:00,운용사 후보 금액과 KRX KIND 일괄공시 금액이 일치. 이 증거만으로는 분배락 적용일·기준가격이 없어 verified 이벤트를 생성하지 않음.
krx-notice-match:05cbad4ec3a417be,candidate:ea84297e0644b3bed53c,krx-notice-evidence:6a3545243c8f0fd2,,468370,issuer:kodex:notice:20260728:monthend,krx:kind:distribution_notice:20260729:20260729002071,1,amount_and_schedule_matched,ticker_exact_and_distribution_amount_equal,2026-08-21T03:33:15+00:00,2026-08-21T03:33:15+00:00,운용사 후보 금액과 KRX KIND 일괄공시 금액이 일치. 이 증거만으로는 분배락 적용일·기준가격이 없어 verified 이벤트를 생성하지 않음.
krx-notice-match:069326842cc79938,,krx-notice-evidence:82ee3bf671bd09a2,,0040X0,,krx:kind:distribution_notice:20260729:20260729002071,1,unmatched,no_issuer_candidate_with_equal_distribution_amount,2026-08-21T03:33:15+00:00,2026-08-21T03:33:15+00:00,일괄공시 단독으로는 이벤트를 verified로 승격하지 않음.
krx-notice-match:070a37f32336d654,candidate:b346506b2ea0a4d62a43,krx-notice-evidence:daaea280003eca9e,,437080,issuer:kodex:notice:20260728:monthend,krx:kind:distribution_notice:20260729:20260729002071,1,amount_and_schedule_matched,ticker_exact_and_distribution_amount_equal,2026-08-21T03:33:15+00:00,2026-08-21T03:33:15+00:00,운용사 후보 금액과 KRX KIND 일괄공시 금액이 일치. 이 증거만으로는 분배락 적용일·기준가격이 없어 verified 이벤트를 생성하지 않음.
krx-notice-match:073ffe5a95258437,,krx-notice-evidence:e0c5d4ef95be0b37,,0046Y0,,krx:kind:distribution_notice:20260729:20260729002071,1,unmatched,no_issuer_candidate_with_equal_distribution_amount,2026-08-21T03:33:15+00:00,2026-08-21T03:33:15+00:00,일괄공시 단독으로는 이벤트를 verified로 승격하지 않음.
krx-notice-match:0792b600795ccf53,,krx-notice-evidence:357948d83f063407,,0040Y0,,krx:kind:distribution_notice:20260729:20260729002071,1,unmatched,no_issuer_candidate_with_equal_distribution_amount,2026-08-21T03:33:15+00:00,2026-08-21T03:33:15+00:00,일괄공시 단독으로는 이벤트를 verified로 승격하지 않음.
krx-notice-match:089e7bc5a993c34e,candidate:7a7236a4d7d15b201f53,krx-notice-evidence:59d76cc57a55080f,,0013P0,issuer:rise:notice:20260728:monthend,krx:kind:distribution_notice:20260729:20260729000622,1,amount_and_schedule_matched,ticker_exact_and_distribution_amount_equal,2026-08-21T03:33:15+00:00,2026-08-21T03:33:15+00:00,운용사 후보 금액과 KRX KIND 일괄공시 금액이 일치. 이 증거만으로는 분배락 적용일·기준가격이 없어 verified 이벤트를 생성하지 않음.
krx-notice-match:08cfa370dde268a7,,krx-notice-evidence:8c58674701963247,,488200,,krx:kind:distribution_notice:20260729:20260729000622,1,unmatched,no_issuer_candidate_with_equal_distribution_amount,2026-08-21T03:33:15+00:00,2026-08-21T03:33:15+00:00,일괄공시 단독으로는 이벤트를 verified로 승격하지 않음.
krx-notice-match:098719a364a93aec,candidate:0458ff288711ccde8572,krx-notice-evidence:c3ff4c2b64e45480,,491090,issuer:kodex:notice:20260728:monthend,krx:kind:distribution_notice:20260729:20260729002071,1,amount_and_schedule_matched,ticker_exact_and_distribution_amount_equal,2026-08-21T03:33:15+00:00,2026-08-21T03:33:15+00:00,운용사 후보 금액과 KRX KIND 일괄공시 금액이 일치. 이 증거만으로는 분배락 적용일·기준가격이 없어 verified 이벤트를 생성하지 않음.
krx-notice-match:0a002ef43a1e0086,candidate:154455085d97ad81972d,krx-notice-evidence:d01330ef02042c7b,,266390,issuer:kodex:notice:20260728:monthend,krx:kind:distribution_notice:20260729:20260729002071,1,amount_and_schedule_matched,ticker_exact_and_distribution_amount_equal,2026-08-21T03:33:15+00:00,2026-08-21T03:33:15+00:00,운용사 후보 금액과 KRX KIND 일괄공시 금액이 일치. 이 증거만으로는 분배락 적용일·기준가격이 없어 verified 이벤트를 생성하지 않음.
