ticker,name,close_20260810,r_1m,r_2m,r_3m,r_6m,r_12m,new_12m,new_3m,r_1d,r_1w,r_2w,r_24m,r_36m,r_itd,new_90d,itd_anchor_close,r_ytd
156080,KODEX MSCI Korea,46715,-18.95,-20.55,-14.16,27.69,139.2,,N,1.1,-1.6,-9.05,137.82,155.22,,N,,65.3
157450,TIGER 단기통안채,112355,0.18,0.42,0.59,1.19,1.19,,N,-0,0.04,0.08,4.21,7.87,,N,,1.39
157490,TIGER 소프트웨어,8680,6.7,-6.01,-7.51,-11.74,-8.78,,N,0.99,5.72,1.17,1.99,-8.15,,N,,-7.22
157500,TIGER 증권,12955,-17.17,-19.96,-40.6,-21.34,46.88,,N,4.06,2.41,-7.6,126.56,220.71,,N,,24.27
159800,마이티 코스피100,77830,-18.66,-20.35,-14.73,26.56,131.88,,N,0.18,-0.99,-9.07,141.86,169.82,,N,,63.63
160580,TIGER 구리실물,16635,0.3,-1.83,3.23,5.89,41.76,,N,-1.16,0.54,0.82,47.78,66.43,,N,,7.64
161510,PLUS 고배당주,25020,-0.58,-2.48,-9.81,-4.83,27.78,,N,-0.44,3.73,-1.5,52.1,110.65,,N,,17.6
166400,TIGER 200커버드콜OTM,21390,-11.12,-6.59,-6.18,13.99,49.27,,N,0.97,0.02,-6.18,41.6,57.68,,N,,23.18
167860,KIWOOM 국고채10년레버리지,93310,1.2,2.24,-3.18,-4.76,-19.13,,N,-0.33,0.97,2.47,-18.42,-10.36,,N,,-8.97
168580,ACE 중국본토CSI300,36090,-6.91,-5.98,-5.15,0.5,24.32,,N,0.75,3.71,-2.01,54.23,40.69,,N,,3.81
169950,KODEX 차이나A50,26665,-5.41,-7.7,-4.32,1.27,19.04,,N,0.7,2.2,-3.27,43.89,40.9,,N,,2.01
174350,TIGER 로우볼,20980,2.44,5.14,1.04,0.17,27.93,,N,-0.9,4.74,0.72,52.38,92.7,,N,,17.11
174360,RISE 중국본토대형주CSI100,24515,-7.07,-6.41,-6.41,-0.28,27.72,,N,0.06,2.06,-3.58,57,44.11,,N,,4.03
176950,KODEX 국채선물10년인버스,59900,0.03,-0.47,2.2,3.81,10.97,,N,0.15,-0.39,-1.03,12.59,10.09,,N,,6.48
181480,ACE 미국부동산리츠(합성 H),86305,0.99,0.54,0.59,4.61,5,,N,1.36,0.33,-2.04,6.63,13.97,,N,,7.7
182480,TIGER 미국MSCI리츠(합성 H),14095,0.89,2.88,3.45,7.97,15.06,,N,0.36,-0.25,-4.12,12.45,17.08,,N,,13.4
182490,TIGER 단기선진하이일드(합성 H),13910,0.58,0.94,0.76,0.8,2.15,,N,0.11,0.58,0.72,6.01,12.05,,N,,1.31
183700,RISE 200채권혼합50,92375,-8.1,-8.88,-7.01,11.7,39.47,,N,0.17,0.03,-3.83,41.48,49.55,,N,,24.49
183710,RISE 주식혼합,86745,-13.8,-13.48,-10.85,21.03,85.57,,N,0.34,-0.41,-5.58,89.64,105.77,,N,,45.17
185680,KODEX 미국S&P바이오(합성),47725,-9.94,12.49,12.6,21.83,87.16,,N,2.21,5.62,-0.1,50.83,103.35,,N,,24.24
189400,PLUS 글로벌MSCI(합성 H),26045,2.38,4.08,3.27,7.6,20.3,,N,0.21,1.42,2.92,32.23,49.83,,N,,11.18
190620,ACE 단기통안채,101840,0.23,0.49,0.64,1.23,-0.28,,N,0,0.05,0.12,-0.64,-0.43,,N,,1.44
192090,TIGER 차이나CSI300,13025,-7.59,-7.16,-5.79,0.08,23.34,,N,0.31,3.01,-2.87,51.34,37.49,,N,,3.83
192720,파워 고배당저변동성,58890,1.45,1.03,-3.88,2.43,37.79,,N,-0.94,5.29,0.32,72.4,109.03,,N,,24.23
195920,TIGER 일본TOPIX(합성 H),35095,-0.86,5.63,6.75,5.93,38.11,,N,0.34,3.4,0.36,45.21,75.85,,N,,19.96
195930,TIGER 유로스탁스50(합성 H),23925,2.55,7.96,10.33,9.15,22.54,,N,-0.44,1.27,2.73,31.85,47.56,,N,,14.28
195970,PLUS 선진국MSCI(합성 H),16665,3.32,6.66,5.57,3.73,20.94,,N,0.91,1.15,2.59,31.17,40.78,,N,,11.36
195980,PLUS 신흥국MSCI(합성 H),14910,-2.04,2.33,-1.62,8.79,32.42,,N,0.98,1.05,2.12,42.52,47.9,,N,,20.58
196030,ACE 일본TOPIX레버리지(H),89665,1.63,11.88,13.5,10.15,79.04,,N,0.75,6.15,1.35,90.42,184.28,,N,,41.06
196230,RISE 단기통안채,116745,0.18,0.43,0.57,1.16,0.86,,N,0.02,0.03,0.09,3.85,7.51,,N,,1.35
200030,KODEX 미국S&P500산업재(합성),44980,-3.95,-1.91,2.58,3.11,23.28,,N,0.33,0.95,-3.37,49.47,87.08,,N,,15.36
200250,KIWOOM 인도Nifty50(합성),22555,-4.18,-1.79,-2.91,-13.18,-6.82,,N,-0.11,-0.73,0.31,-14.91,13.85,,N,,-12.65
203780,TIGER 미국나스닥바이오,34895,-6.1,8.84,10.22,10.95,53.72,,N,2.18,3.42,-0.27,36.59,79.72,,N,,14.84
204450,KODEX 차이나H레버리지(H),2410,10.3,5.47,-8.88,-17.47,-14.69,,N,2.12,-1.03,5.7,55.79,13.41,,N,,-14.08
204480,TIGER 차이나CSI300레버리지(합성),27155,-16.72,-17.4,-14.41,-6.1,43.45,,N,0.99,6.39,-6.2,100.26,54.7,,N,,1.21
205720,ACE 일본TOPIX인버스(합성 H),1452,-2.09,-7.52,-8.22,-9.65,-31.51,,N,-0.82,-3.65,-1.29,-41.17,-54.13,,N,,-20.96
210780,TIGER 코스피고배당,23300,0.69,-0.51,-11.24,-6.8,22.76,,N,-0.11,5.1,0.24,45.71,69.31,,N,,13.19
211560,TIGER 배당성장,35720,-1.05,-2.24,-10.9,3.07,45.74,,N,0.56,4.51,-0.39,64.24,105.47,,N,,31.28
211900,KODEX 코리아배당성장,28500,-1.08,-2.26,-11.37,3,45.67,,N,0.56,5.07,-0.31,64.32,104.18,,N,,30.32
213610,KODEX 삼성그룹밸류,21440,-6.84,-12.54,-5.2,31.61,117.22,,N,0.92,4.33,-3.1,106.77,108.91,,N,,62.92
213630,PLUS 미국다우존스고배당주(합성 H),20860,2.18,4.27,5.51,4.27,18.66,,N,0.17,-0.19,-2.18,27.48,39.37,,N,,13.22
214980,KODEX 단기채권PLUS,114740,0.09,0.06,-0.1,-0.08,-0.38,,N,0.03,0.07,0.17,2.86,6.81,,N,,-0.14
215620,HK S&P코리아로우볼,16255,4.67,4.63,-7.85,-10.64,1.85,,N,0.34,5.35,3.6,13.76,38.95,,N,,-0.73
217770,TIGER 원유선물인버스(H),1390,-11.52,3.96,4.51,-43.27,-48.52,,N,-0.57,0.65,4.51,-51.71,-56.77,,N,,-49.36
217780,TIGER 차이나CSI300인버스(합성),5230,6.73,6.09,5.02,-1.32,-26.65,,N,0.1,-2.33,2.55,-42.27,-38.53,,N,,-6.94
218420,KODEX 미국S&P500에너지(합성),19025,-0.63,-5.98,0.29,4.16,38.82,,N,-0.42,-2.19,-4.42,32.04,54.48,,N,,27.17
219390,RISE 미국S&P원유생산기업(합성 H),7305,3.62,0.83,-1.95,12.04,34.41,,N,0.9,-3.31,-2.47,12.2,18.48,,N,,28.95
219480,KODEX 미국S&P500선물(H),33480,3.08,5.12,4.79,10.37,18.43,,N,0.62,3.02,3.69,27.95,49.64,,N,,11.1
219900,ACE 중국본토CSI300레버리지(합성),4575,-15.98,-16.13,-14.57,-5.96,41.2,,N,0,3.86,-6.63,90.04,46.57,,N,,0
220130,SOL 차이나강소기업CSI500(합성 H),6935,-6.41,0.36,-6.35,0.51,35.05,,N,0,6.69,5.48,77.13,37.21,,N,,12.58
223190,KODEX 200가치저변동,27260,-5.22,-10.43,-8.37,18.16,92.99,,N,0.02,4.36,-0.71,97.91,149.15,,N,,50.98
225030,TIGER 미국S&P500선물인버스(H),2225,-2.84,-4.91,-4.91,-9.74,-18.2,,N,-1.11,-3.05,-3.68,-24.96,-34.55,,N,,-10.1
225040,TIGER 미국S&P500레버리지(합성 H),69380,5.95,10.2,9.61,20.63,39.44,,N,1.28,6.29,7.66,55.77,109.78,,N,,21.79
225050,TIGER 유로스탁스레버리지(합성 H),17075,6.39,14.18,17.92,11.24,36.49,,N,0.35,4.18,6.65,40.35,60.74,,N,,24.82
225060,TIGER 이머징마켓MSCI레버리지(합성 H),15675,-3.8,-1.54,-7.41,10.78,62.27,,N,1.52,2.59,2.79,68.99,74.76,,N,,36.13
225130,ACE 골드선물 레버리지(합성 H),47825,9.06,3.12,-19.32,-31.68,29.17,,N,1.76,13.2,11.82,95.43,150.53,,N,,-14.12
225800,KIWOOM 미국달러선물레버리지,15820,-10.97,-12.89,-6.39,-4.35,6.25,,N,0.16,-1.31,-6.58,16.83,44.05,,N,,-1.98
226380,ACE Fn성장소비주도주,5985,3.64,5,-9.52,-17.39,-18.24,,N,-0.17,8.13,4.72,-9.77,-5.67,,N,,-8.42
226490,KODEX 코스피,64630,-15.93,-18.79,-16.22,18.36,97.43,,N,0.54,0.83,-7.39,107.94,120.55,,N,,49.02
226980,KODEX 200 중소형,22805,-0.33,-7.37,-22.88,-5.51,23.37,,N,2.4,13.01,3.45,42.46,63.32,,N,,14.2
227540,TIGER 200 헬스케어,19990,11.27,11.15,-1.28,-17.07,3.36,,N,2.17,12.59,8.55,-8.29,8.13,,N,,-12.04
227550,TIGER 200 산업재,12550,7.54,-2.83,-24.1,-0.08,28.19,,N,3.38,16.1,9.99,47.35,54.4,,N,,22.8
227560,TIGER 200 생활소비재,13225,6.31,4.67,-6.47,-7.9,8.4,,N,-0.86,8.67,4.13,39.32,65.12,,N,,10.76
227570,TIGER 우량가치,21090,5.61,0.43,-10.82,8.8,36.24,,N,1.08,8.49,4.64,57.07,82.16,,N,,28.99
227830,PLUS 코스피,65365,-16.95,-18.61,-15.75,19.13,97.78,,N,0.86,1.65,-6.42,105.51,118.47,,N,,49.32
228790,TIGER 화장품,4140,12.2,22.12,4.02,8.66,-5.15,,N,-0.6,11.29,7.25,17.81,74.54,,N,,27.38
228800,TIGER 여행레저,2625,-4.89,-11.32,-22.34,-31.1,-31.19,,N,0.57,5.63,2.94,-22.63,-32.68,,N,,-23.25
228810,TIGER 미디어컨텐츠,3425,-0.87,-0.87,-24.23,-44.13,-52.6,,N,0.29,7.2,1.93,-36.6,-56.86,,N,,-43.53
228820,TIGER KTOP30,17500,-11.5,-16.77,-11.79,21.91,90.74,,N,0.2,3.34,-4.29,74.8,70.57,,N,,51.58
229200,KODEX 코스닥150,14780,2.5,-10.75,-26.56,-22.66,9.97,,N,8.64,18.52,14.13,-16.85,-25.49,,N,,-4.21
229720,KODEX KTOP30,34845,-11.46,-16.98,-11.57,22.35,91.3,,N,1.5,3,-3.64,73.7,68.13,,N,,51.53
230480,KIWOOM 미국달러선물인버스2X,4380,11.88,14.36,5.8,3.42,-9.13,,N,-0.45,1.27,6.96,-18.17,-32.96,,N,,-0.11
232080,TIGER 코스닥150,15060,2.38,-10.83,-26.57,-22.63,9.61,,N,8.42,18.54,14.09,-17.19,-25.76,,N,,-4.32
233160,TIGER 코스닥150 레버리지,8605,-2.88,-29.9,-54.2,-54.25,-14.76,,N,17.15,39.35,25.8,-55.32,-66.5,,N,,-32.64
233740,KODEX 코스닥150레버리지,7750,-3,-29.86,-54.43,-54.26,-13.5,,N,16.54,38.39,23.8,-54.72,-66.69,,N,,-32.34
234310,RISE V&S셀렉트밸류,27420,-6.29,-10.44,-14.04,8.1,68.69,,N,1.54,5.16,-2.05,59,70.07,,N,,33.59
236350,TIGER 인도니프티50레버리지(합성),30965,-8.52,-3.88,-6.82,-24.86,-18.72,,N,0.37,-1.37,1.66,-34.96,11.86,,N,,-26.09
237350,KODEX 코스피100,78400,-19.32,-20.74,-14.89,26.45,135.15,,N,0.07,-1.02,-9.22,144.01,167.58,,N,,64.12
237370,KODEX 코리아배당성장채권혼합,15800,-0.16,-0.25,-3.57,0.8,10.14,,N,-0.06,1.51,0.22,17.75,31.16,,N,,7.89
237440,TIGER 경기방어채권혼합,10295,2.34,1.73,-1.2,-2.51,2.74,,N,-0.91,1.68,0.73,6.9,16.14,,N,,1.78
238670,PLUS 스마트베타Quality채권혼합,13425,1.05,2.09,-0.48,3.51,13.58,,N,0.34,2.48,1.86,18.8,21.6,,N,,9.28
238720,ACE 일본Nikkei225(H),48930,-1.9,4.89,8.55,18.07,63.59,,N,3.03,5.45,3.41,63.71,99.06,,N,,35.58
239660,PLUS 우량회사채50,121565,0.34,0.66,0.6,0.98,0.35,,N,0.01,0.09,0.24,3.78,8.09,,N,,1.1
241180,TIGER 일본니케이225,36075,-6.63,-1.97,2.12,10.63,52.31,,N,1.81,3.06,2.57,56.81,81.06,,N,,29.35
241390,RISE V&S셀렉트밸류채권혼합,15545,-2.42,-4.31,-7.33,3.05,22.4,,N,1.3,2.1,-0.58,20.16,24.93,,N,,11.67
243880,TIGER 200IT레버리지,265650,-50.35,-55.93,-41.94,66.87,692.63,,N,1.55,-1.99,-26.16,424.43,418.26,,N,,180.96
243890,TIGER 200에너지화학레버리지,8150,-2.8,-17.93,-42.91,-9.44,58.87,,N,3.82,25.77,-1.27,10.36,-44.67,,N,,28.65
244580,KODEX 바이오,9315,9.85,-2.41,-21.03,-27.79,-0.96,,N,6.7,20.35,17.17,-19.13,-9.81,,N,,-25.42
244620,KODEX 모멘텀Plus,19590,-14,-16.57,-20.35,5.46,31.56,,N,5.29,9.44,-0.25,15.47,23.96,,N,,32.05
244660,KODEX 퀄리티Plus,9555,2.91,3.41,-7.41,-7.23,3.58,,N,0.42,7.36,3.07,-1.67,11.63,,N,,3.75
244670,KODEX 밸류Plus,11900,1.15,1.3,-9.61,-5.41,20.14,,N,2.85,10.65,4.57,28.45,35.7,,N,,13.93
245340,TIGER 미국다우존스30,37260,-3.09,-0.76,5.17,4.62,24.8,,N,0.26,1.47,-0.37,33.87,66.08,,N,,9.48
245350,TIGER 유로스탁스배당30,19950,-1.87,-1.53,2.15,2.02,21.98,,N,-0.1,0.63,-1.89,58.31,83,,N,,8.34
245360,TIGER 차이나HSCEI,12855,-1.08,-3.24,-5.65,-9.28,-0.66,,N,1.54,-1.57,-1.34,43.12,41.21,,N,,-6.41
245710,ACE 베트남VN30(합성),28945,-7.99,-7.36,-10.05,-5.99,12.02,,N,0.73,-1.21,1.38,39.72,49.83,,N,,-4.9
248270,TIGER S&P글로벌헬스케어(합성),26910,-3.76,1.36,9.06,1.6,26.96,,N,0.64,1.22,-0.33,14.32,38.4,,N,,3.2
250730,RISE 차이나HSCEI(H),10125,6.58,3.79,-1.98,-6.08,-5.99,,N,0.75,0.7,2.32,37.95,24.54,,N,,-4.16
250780,TIGER 코스닥150선물인버스,2340,-7.87,0.21,17.77,1.3,-32.17,,N,-8.41,-16.58,-15.22,-14.3,-11.68,,N,,-20.95
251340,KODEX 코스닥150선물인버스,2310,-9.23,0.43,17.08,1.09,-32.36,,N,-8.33,-16.61,-16.46,-12.4,-9.14,,N,,-21.16
251350,KODEX MSCI선진국,40630,-2.71,-1.71,1.4,6.84,24.4,,N,0.83,2.12,-0.18,40,77.88,,N,,10.53
251590,PLUS 고배당저변동50,17440,3.56,2.8,-5.14,-1.97,11.79,,N,0.69,4.84,1.99,29.1,58.23,,N,,8.16
251600,PLUS 고배당주채권혼합,15420,-0.06,-0.74,-4.43,-2.56,10.5,,N,-0.19,1.95,-0.42,18.78,40.75,,N,,7.83
252000,TIGER 200동일가중,19545,1.64,-3.17,-14.2,0.1,32.6,,N,1.03,10.05,3.96,43.69,59.73,,N,,20.91
252400,RISE 200선물레버리지,84255,-39.68,-45.3,-40.57,18.65,264.66,,N,0.15,-2.75,-21.59,289.56,356.94,,N,,92.23
252410,RISE 200선물인버스,1476,12.93,11.56,-0.4,-38.11,-66.98,,N,0.07,0.54,3.22,-67.74,-70.48,,N,,-52.69
252420,RISE 200선물인버스2X,102,13.33,6.25,-19.05,-71.02,-92.2,,N,-0.97,-0.97,-1.92,-92.74,-94.23,,N,,-83.55
252650,KODEX 200동일가중,18740,1.71,-1.91,-13.76,1.38,33.71,,N,1.49,9.3,4.02,45.3,60.93,,N,,21.61
252670,KODEX 200선물인버스2X,96,11.63,3.23,-21.95,-72.57,-92.58,,N,-1.03,-3.03,-4,-92.88,-94.4,,N,,-84.39
252710,TIGER 200선물인버스2X,105,14.13,6.06,-18.6,-71.77,-92.31,,N,0.96,0,-1.87,-92.8,-94.31,,N,,-83.87
253150,PLUS 200선물레버리지,168470,-39.82,-45.41,-40.62,17.8,262.26,,N,0.01,-2.65,-21.05,289.51,358.44,,N,,91.6
253160,PLUS 200선물인버스2X,198,13.14,4.76,-22.66,-72.42,-92.54,,N,0.51,0.51,-2.46,-92.99,-94.42,,N,,-84.27
253230,KIWOOM 200선물인버스2X,95,13.1,5.56,-24.6,-73.16,-92.74,,N,-2.06,-1.04,-4.04,-93.04,-94.51,,N,,-84.78
253240,KIWOOM 200선물인버스,1476,13.71,10.07,-0.81,-38.88,-67.16,,N,0,1.23,3.8,-68.04,-70.81,,N,,-53.29
253250,KIWOOM 200선물레버리지,83040,-39.14,-45.18,-40.26,18.66,263.89,,N,0.15,-2.7,-21.29,284.72,351.22,,N,,92.44
253280,RISE 헬스케어,14295,11.77,7.85,-10.93,-21.8,-2.92,,N,5.15,19.37,16.41,-19.02,5.09,,N,,-15.29
253290,RISE 헬스케어채권혼합,12055,4.01,2.95,-3.64,-7.7,-2.31,,N,1.52,5.01,4.42,-6.32,3.25,,N,,-5.23
256440,ACE MSCI인도네시아(합성),5485,1.67,0.46,-18.74,-34.59,-34.47,,N,0,0.64,-0.18,-46.56,-50.26,,N,,-36
256450,PLUS 심천차이넥스트(합성),15705,-15.11,-14.58,-9.61,4.53,58.16,,N,-1.6,4.73,-3.74,120.39,70.79,,N,,11.3
256750,KODEX 차이나심천ChiNext(합성),16320,-13.99,-14.96,-10.23,5.36,61.74,,N,0.09,6.01,-3.66,122.03,72.55,,N,,10.42
261060,TIGER 코스닥150IT,22650,-10.23,-18.57,-25.06,-0.68,67.04,,N,9.74,15.77,7.19,17.64,6.21,,N,,36.82
261070,TIGER 코스닥150바이오테크,14570,16.42,1.08,-16.26,-24.78,-7.61,,N,9.51,27.64,27.03,-18.17,40.95,,N,,-19.01
261110,TIGER 미국달러선물레버리지,16770,-10.87,-12.88,-6.37,-4.34,6.41,,N,-0.12,-1.93,-6.73,18.08,45.45,,N,,-1.79
261120,TIGER 미국달러선물인버스2X,5045,12.11,15.84,6.89,3.7,-8.85,,N,0.2,1.82,7.45,-17.48,-32.02,,N,,1.41
261140,TIGER 우선주,23600,-6.5,-11.24,-16.45,8.81,65.03,,N,0.43,3.17,0.53,68,81.46,,N,,29.78
261220,KODEX WTI원유선물(H),21675,8.86,-9.46,-12.3,44.89,51.63,,N,0.3,-1.59,-6.95,49.3,57.67,,N,,61.09
261240,KODEX 미국달러선물,14630,-5.34,-6.31,-2.73,-1.22,4.65,,N,0.14,-0.65,-3.3,12.02,27.42,,N,,0.34
261250,KODEX 미국달러선물레버리지,16745,-10.6,-13.08,-6.56,-4.53,6.86,,N,0.18,-1.73,-6.71,18.1,46.25,,N,,-1.79
261260,KODEX 미국달러선물인버스2X,5075,12.4,15.21,6.73,3.57,-7.98,,N,0,2.01,7.41,-16.75,-31.65,,N,,1
261270,KODEX 미국달러선물인버스,7875,5.99,7.29,3.48,2.61,-2.9,,N,0,0.83,3.48,-5.97,-13.11,,N,,1.22
261920,ACE MSCI필리핀(합성),13315,-4.76,-0.45,0.23,-7.66,-3.48,,N,0.08,-0.63,-2.13,-0.55,2.02,,N,,-1.37
265690,ACE 러시아MSCI(합성),8535,0,0,0,0,0,,N,0,0,0,-9.63,-11,,N,,0
266160,RISE 고배당,30355,-16.93,-16.23,-13.05,10.32,81.44,,N,-0.75,-2.03,-8.73,95.24,138.99,,N,,44.41
266360,KODEX K콘텐츠,10355,2.12,-3.09,-12.47,-24.66,-25.4,,N,-0.14,4.02,-2.08,-11.25,-24.21,,N,,-21.04
266370,KODEX IT,59475,-21.33,-26.16,-13.61,50.02,224.56,,N,1.67,1.5,-9.57,163.62,173.22,,N,,97.59
266390,KODEX 경기소비재,14690,-8.33,-12.56,16.63,25.34,48.38,,N,-0.41,5.8,-0.54,66.77,61.83,,N,,43.04
266410,KODEX 필수소비재,9855,8.3,6.71,-4.09,3.3,12.5,,N,-0.9,10.23,6.54,27.7,46.67,,N,,22.73
266420,KODEX 헬스케어,18850,14.1,7.75,-8.67,-19.41,2.22,,N,4.9,17.89,16.11,-8.67,31.21,,N,,-13.05
266550,PLUS 중형주저변동50,18755,2.51,0.75,-10.63,4.25,25.33,,N,0.81,8.16,2.51,34.3,61.44,,N,,21.63
267440,RISE 미국장기국채선물(H),7955,-1.55,-1.67,-3.58,-5.91,-6.96,,N,0.25,0.51,-0.75,-7.48,-9.76,,N,,-5.86
267450,RISE 미국장기국채선물인버스(H),11080,1.89,1.19,2.4,3.75,0.91,,N,0,-0.4,0.05,3.57,10.57,,N,,3.75
267490,RISE 미국장기국채선물레버리지(합성 H),5055,-1.65,-3.44,-6.3,-10.05,-10.85,,N,2.02,1.51,-0.88,-18.23,-27,,N,,-10.45
267770,TIGER 200선물레버리지,69655,-40.14,-45.5,-40.72,18.03,262.22,,N,0.1,-4.52,-22.01,289.9,357.2,,N,,91.6
269370,TIGER S&P글로벌인프라(합성),17725,-8.09,-7.25,-5.69,-4.63,10.92,,N,-0.25,-1.53,-7.1,38.78,56.78,,N,,3.38
269420,KODEX S&P글로벌인프라(합성),22955,-6.95,-5.57,-5.71,-2.53,13.78,,N,-0.11,-1.9,-6.69,44.86,68.05,,N,,6.17
269530,PLUS S&P글로벌인프라,20550,-8.12,-7.12,-6.29,-5.06,9.63,,N,-1.25,-1.44,-7.89,37.57,57.5,,N,,3.68
269540,PLUS 미국S&P500(H),30415,1.62,3.77,4.92,9.94,20.91,,N,0.55,2.72,2.81,31.41,56.72,,N,,11.02
270800,RISE KQ고배당,15910,0.82,-2.81,-11.83,-2.03,23.14,,N,2.84,9.2,5.26,18.37,5.81,,N,,18.73
270810,RISE 코스닥150,14690,2.8,-10.67,-26.48,-22.62,9.87,,N,8.53,18.52,14.01,-17.02,-25.3,,N,,-4.11
271050,KODEX WTI원유선물인버스(H),2185,-10.82,5.05,6.07,-42.88,-47.09,,N,-0.68,0.46,4.8,-50,-54.05,,N,,-49.25
271060,KODEX 3대농산물선물(H),8100,2.53,4.79,-2.76,3.25,5.26,,N,0.37,0.93,-3.86,-0.94,-31.78,,N,,3.45
272560,RISE 단기국공채액티브,114720,0.34,0.6,0.6,1.23,0.82,,N,0,0.07,0.18,4.23,8.33,,N,,1.42
272570,RISE 중장기국공채액티브,108055,0.29,0.94,-0.1,-0.26,-3.57,,N,-0.16,0.1,0.62,0.66,6.76,,N,,-0.98
272580,TIGER 단기채권액티브,56990,0.29,0.55,0.61,1.35,1.72,,N,0.01,0.07,0.11,4.86,8.81,,N,,1.61
272910,ACE 중장기국공채액티브,106190,0.43,0.97,0.12,0.16,-3.02,,N,-0.11,0.13,0.56,1.48,7.77,,N,,-0.66
273130,KODEX 종합채권(AA-이상)액티브,109840,-0.14,-0.01,-2.04,-2.71,-7.88,,N,-0.26,-0.04,0.26,-3.23,4.79,,N,,-4.13
273140,KODEX 단기변동금리부채권액티브,114765,0.02,-0.04,-0.09,-0.07,-0.06,,N,0.02,0.07,0.11,2.96,6.68,,N,,-0.04
275280,KODEX 모멘텀주,38520,-19.11,-20.37,-15.38,25.55,105.93,,N,1.29,-0.09,-8.06,152.03,168.15,,N,,59.67
275290,KODEX 가치주,30775,-18.8,-16.2,-11.05,31.32,135.46,,N,0.62,-1.65,-9.62,144.56,166.36,,N,,69.47
275300,KODEX 우량주,27535,-17.29,-18.31,-11.29,34.32,162.74,,N,1.12,0.62,-7.57,158.27,200.43,,N,,70.71
275750,RISE 코스닥150선물인버스,2370,-8.32,0.64,17.91,3.72,-31.2,,N,-8.32,-16.11,-15.36,-13.65,-12.13,,N,,-19.52
275980,TIGER 글로벌4차산업혁신기술(합성 H),23480,-1.55,0.43,1.82,9.72,29.26,,N,0.62,2.87,3.69,33.27,32.99,,N,,13.93
276000,TIGER 글로벌자원생산기업(합성 H),20265,7.22,3.9,-0.54,2.3,32.41,,N,1.15,3.39,2.27,28.86,25.91,,N,,18.09
276650,RISE 글로벌테크놀로지(합성 H),46730,1.41,3.34,4.93,20.48,32.91,,N,0.45,3.12,4.23,46.71,88.81,,N,,20.45
276970,KODEX 미국S&P500배당귀족커버드콜(합성 H),7810,2.09,4.48,5.19,-4.41,0.13,,N,0.26,0.64,0.39,-6.01,-14.18,,N,,1.89
276990,KODEX 글로벌로봇(합성),27360,-3.24,-6.19,-4.92,8.7,36.53,,N,1.03,3.79,3.52,43.5,45.62,,N,,17.35
277540,ACE 아시아TOP50,31280,-10.42,-9.74,-6.24,15.34,60.25,,N,-0.18,-1.03,-4.05,98.17,134.32,,N,,33.39
277630,TIGER 코스피,65590,-16.22,-18.57,-16.16,18.79,97.35,,N,0.57,0.43,-6.9,107.47,121.82,,N,,49.48
277640,TIGER 코스피대형주,34190,-17.18,-20.09,-15.73,22.11,112.76,,N,0.06,-0.03,-7.83,123.81,139.44,,N,,55.73
277650,TIGER 코스피중형주,20855,-0.07,-5.18,-20.9,-7.54,15.44,,N,2.13,10.29,4.33,18.48,27.68,,N,,9.33
278240,RISE 코스닥150선물레버리지,8695,-2.63,-29.94,-54.74,-54.57,-14.17,,N,16.09,38.13,24.04,-55.51,-65.3,,N,,-32.65
278530,KODEX 200TR,35560,-18.74,-20.63,-15.02,26.03,128.53,,N,0.1,-1.03,-8.97,144.19,174.78,,N,,62.45
278540,KODEX MSCI Korea TR,34810,-18.54,-20.23,-14.59,28.31,141.23,,N,0.27,-1.57,-9.1,144.9,167.07,,N,,65.68
278620,PLUS 단기채권액티브,118880,0.46,0.72,0.64,1.18,0.68,,N,0.02,0.13,0.32,4.17,8.58,,N,,1.31
279530,KODEX 고배당주,17415,-0.77,-2.22,-7.12,0.09,33.81,,N,-0.77,3.32,-1.86,61.14,96.02,,N,,23.95
279540,KODEX 최소변동성,20240,-9.46,-13.54,-13.19,6.98,63.23,,N,1.17,5.8,-1.91,60.77,72.23,,N,,33.25
280320,ACE 미국IT인터넷(합성 H),21565,4.2,6.18,6.15,13.74,1.39,,N,1.22,4.81,10.53,28.03,47.43,,N,,4.66
280920,PLUS 주도업종,22415,-10.02,-18.37,-17.26,8.13,69.68,,N,0.88,6.87,0.95,61.48,100.64,,N,,34.99
280930,KODEX 미국러셀2000(H),17155,1.33,5.7,5.44,10.89,30.85,,N,1.03,2.82,2.05,20.4,35.15,,N,,17.78
280940,KODEX 골드선물인버스(H),3460,-4.55,-3.89,8.81,16.5,-21.36,,N,-0.43,-6.99,-6.23,-37.91,-46,,N,,0.14
281990,RISE 중소형고배당,17930,2.34,1.93,-12.11,-3.05,19.33,,N,0.25,7.04,1.62,55.35,49.34,,N,,14.66
282000,RISE 국고채3년선물인버스,114365,0.01,-0.38,0.37,1.38,3.43,,N,0.13,0.03,-0.34,5.59,6.99,,N,,2.13
283580,KODEX 차이나CSI300,15930,-7.76,-7.54,-5.96,-0.62,23.82,,N,0.79,2.77,-3.19,52.15,35.41,,N,,3.27
284430,KODEX 200미국채혼합50,20200,-11.4,-13.77,-9.7,6.32,39.6,,N,0.37,-0.54,-5.16,44.64,59.33,,N,,18.75
284980,RISE 200금융,22240,-5.12,-0.2,-3.95,2.07,43.53,,N,-1.07,2.21,-2.22,76.91,163.35,,N,,29.98
