reference_month,ticker,etf_name,distribution_record_date,distribution_per_share_krw,source_url,verification_status
2025-08,458730,TIGER 미국배당다우존스,,,https://www.tigeretf.com/,수집대기
2025-09,458730,TIGER 미국배당다우존스,,,https://www.tigeretf.com/,수집대기
2025-10,458730,TIGER 미국배당다우존스,,,https://www.tigeretf.com/,수집대기
2025-11,458730,TIGER 미국배당다우존스,,,https://www.tigeretf.com/,수집대기
2025-12,458730,TIGER 미국배당다우존스,,,https://www.tigeretf.com/,수집대기
2026-01,458730,TIGER 미국배당다우존스,,,https://www.tigeretf.com/,수집대기
2026-02,458730,TIGER 미국배당다우존스,,,https://www.tigeretf.com/,수집대기
2026-03,458730,TIGER 미국배당다우존스,,,https://www.tigeretf.com/,수집대기
2026-04,458730,TIGER 미국배당다우존스,,,https://www.tigeretf.com/,수집대기
2026-05,458730,TIGER 미국배당다우존스,,,https://www.tigeretf.com/,수집대기
2026-06,458730,TIGER 미국배당다우존스,,,https://www.tigeretf.com/,수집대기
2026-07,458730,TIGER 미국배당다우존스,,,https://www.tigeretf.com/,수집대기
2025-08,402970,ACE 미국배당다우존스,,,https://www.aceetf.co.kr/cs/notice/4081,수집대기
2025-09,402970,ACE 미국배당다우존스,,,https://www.aceetf.co.kr/,수집대기
2025-10,402970,ACE 미국배당다우존스,,,https://www.aceetf.co.kr/,수집대기
2025-11,402970,ACE 미국배당다우존스,,,https://www.aceetf.co.kr/,수집대기
2025-12,402970,ACE 미국배당다우존스,,,https://www.aceetf.co.kr/,수집대기
2026-01,402970,ACE 미국배당다우존스,,,https://www.aceetf.co.kr/,수집대기
2026-02,402970,ACE 미국배당다우존스,,,https://www.aceetf.co.kr/,수집대기
2026-03,402970,ACE 미국배당다우존스,,,https://www.aceetf.co.kr/,수집대기
2026-04,402970,ACE 미국배당다우존스,,,https://www.aceetf.co.kr/,수집대기
2026-05,402970,ACE 미국배당다우존스,,,https://www.aceetf.co.kr/,수집대기
2026-06,402970,ACE 미국배당다우존스,,,https://www.aceetf.co.kr/cs/notice/6162,수집대기
2026-07,402970,ACE 미국배당다우존스,,,https://www.aceetf.co.kr/,수집대기
2025-08,441640,KODEX 미국배당커버드콜액티브,,,https://www.samsungfund.com/etf/product/view.do?id=2ETFH4,수집대기
2025-09,441640,KODEX 미국배당커버드콜액티브,,,https://www.samsungfund.com/etf/product/view.do?id=2ETFH4,수집대기
2025-10,441640,KODEX 미국배당커버드콜액티브,,,https://www.samsungfund.com/etf/product/view.do?id=2ETFH4,수집대기
2025-11,441640,KODEX 미국배당커버드콜액티브,,,https://www.samsungfund.com/etf/product/view.do?id=2ETFH4,수집대기
2025-12,441640,KODEX 미국배당커버드콜액티브,,,https://www.samsungfund.com/etf/product/view.do?id=2ETFH4,수집대기
2026-01,441640,KODEX 미국배당커버드콜액티브,,,https://www.samsungfund.com/etf/product/view.do?id=2ETFH4,수집대기
2026-02,441640,KODEX 미국배당커버드콜액티브,,,https://www.samsungfund.com/etf/product/view.do?id=2ETFH4,수집대기
2026-03,441640,KODEX 미국배당커버드콜액티브,,,https://www.samsungfund.com/etf/product/view.do?id=2ETFH4,수집대기
2026-04,441640,KODEX 미국배당커버드콜액티브,,,https://www.samsungfund.com/etf/product/view.do?id=2ETFH4,수집대기
2026-05,441640,KODEX 미국배당커버드콜액티브,,,https://www.samsungfund.com/etf/product/view.do?id=2ETFH4,수집대기
2026-06,441640,KODEX 미국배당커버드콜액티브,,,https://www.samsungfund.com/etf/product/view.do?id=2ETFH4,수집대기
2026-07,441640,KODEX 미국배당커버드콜액티브,2026-07-15,103,https://www.samsungfund.com/etf/product/view.do?id=2ETFH4,공식확인
2025-08,490600,RISE 미국배당100데일리고정커버드콜,2025-08-29,116,https://www.riseetf.co.kr/prod/finderDetail/44H2,공식확인
2025-09,490600,RISE 미국배당100데일리고정커버드콜,2025-09-30,120,https://www.riseetf.co.kr/prod/finderDetail/44H2,공식확인
2025-10,490600,RISE 미국배당100데일리고정커버드콜,2025-10-31,130,https://www.riseetf.co.kr/prod/finderDetail/44H2,공식확인
2025-11,490600,RISE 미국배당100데일리고정커버드콜,2025-11-28,120,https://www.riseetf.co.kr/prod/finderDetail/44H2,공식확인
2025-12,490600,RISE 미국배당100데일리고정커버드콜,2025-12-30,115,https://www.riseetf.co.kr/prod/finderDetail/44H2,공식확인
2026-01,490600,RISE 미국배당100데일리고정커버드콜,2026-01-30,99,https://www.riseetf.co.kr/prod/finderDetail/44H2,공식확인
2026-02,490600,RISE 미국배당100데일리고정커버드콜,2026-02-27,103,https://www.riseetf.co.kr/prod/finderDetail/44H2,공식확인
2026-03,490600,RISE 미국배당100데일리고정커버드콜,2026-03-31,142,https://www.riseetf.co.kr/prod/finderDetail/44H2,공식확인
2026-04,490600,RISE 미국배당100데일리고정커버드콜,2026-04-15,114,https://www.riseetf.co.kr/prod/finderDetail/44H2,공식확인
2026-05,490600,RISE 미국배당100데일리고정커버드콜,2026-05-15,157,https://www.riseetf.co.kr/prod/finderDetail/44H2,공식확인
2026-06,490600,RISE 미국배당100데일리고정커버드콜,2026-06-15,120,https://www.riseetf.co.kr/prod/finderDetail/44H2,공식확인
2026-07,490600,RISE 미국배당100데일리고정커버드콜,2026-07-15,149,https://www.riseetf.co.kr/prod/finderDetail/44H2,공식확인
