# [주의] 본 파일은 실측 아님. 판매사 조회 결과가 아님. 공식 규제 증거로 절대 사용할 수 없으며 E4 등급 부여가 금지됩니다.
﻿ticker,broker_name,pension_eligible_limit,effective_date,source_url
459580,"미래에셋증권,삼성증권",100% (안전자산),2026-09-05,https://securities.miraeasset.com/hki/hki3028/n01.do
357870,"미래에셋증권,삼성증권",100% (안전자산),2026-09-05,https://securities.miraeasset.com/hki/hki3028/n01.do
423160,"미래에셋증권,삼성증권",100% (안전자산),2026-09-05,https://securities.miraeasset.com/hki/hki3028/n01.do
449170,"미래에셋증권,삼성증권",100% (안전자산),2026-09-05,https://securities.miraeasset.com/hki/hki3028/n01.do
477080,"미래에셋증권,삼성증권",100% (안전자산),2026-09-05,https://securities.miraeasset.com/hki/hki3028/n01.do
475630,"미래에셋증권,삼성증권",100% (안전자산),2026-09-05,https://securities.miraeasset.com/hki/hki3028/n01.do
479520,"미래에셋증권,삼성증권",100% (안전자산),2026-09-05,https://securities.miraeasset.com/hki/hki3028/n01.do
476550,"미래에셋증권,삼성증권",100% (안전자산),2026-09-05,https://securities.miraeasset.com/hki/hki3028/n01.do
481060,"미래에셋증권,삼성증권",100% (안전자산),2026-09-05,https://securities.miraeasset.com/hki/hki3028/n01.do
456610,"미래에셋증권,삼성증권",100% (안전자산),2026-09-05,https://securities.miraeasset.com/hki/hki3028/n01.do
329750,"미래에셋증권,삼성증권",100% (안전자산),2026-09-05,https://securities.miraeasset.com/hki/hki3028/n01.do
251600,"미래에셋증권,삼성증권",100% (안전자산),2026-09-05,https://securities.miraeasset.com/hki/hki3028/n01.do
484790,"미래에셋증권,삼성증권",100% (안전자산),2026-09-05,https://securities.miraeasset.com/hki/hki3028/n01.do
455030,"미래에셋증권,삼성증권",100% (안전자산),2026-09-05,https://securities.miraeasset.com/hki/hki3028/n01.do
499660,"미래에셋증권,삼성증권",100% (안전자산),2026-09-05,https://securities.miraeasset.com/hki/hki3028/n01.do
458250,"미래에셋증권,삼성증권",100% (안전자산),2026-09-05,https://securities.miraeasset.com/hki/hki3028/n01.do
0046A0,"미래에셋증권,삼성증권",100% (안전자산),2026-09-05,https://securities.miraeasset.com/hki/hki3028/n01.do
0040Y0,"미래에셋증권,삼성증권",100% (안전자산),2026-09-05,https://securities.miraeasset.com/hki/hki3028/n01.do
456880,"미래에셋증권,삼성증권",100% (안전자산),2026-09-05,https://securities.miraeasset.com/hki/hki3028/n01.do
475080,"미래에셋증권,삼성증권",100% (안전자산),2026-09-05,https://securities.miraeasset.com/hki/hki3028/n01.do
473330,"미래에셋증권,삼성증권",100% (안전자산),2026-09-05,https://securities.miraeasset.com/hki/hki3028/n01.do
302190,"미래에셋증권,삼성증권",100% (안전자산),2026-09-05,https://securities.miraeasset.com/hki/hki3028/n01.do
0091C0,"미래에셋증권,삼성증권",100% (안전자산),2026-09-05,https://securities.miraeasset.com/hki/hki3028/n01.do
0040X0,"미래에셋증권,삼성증권",100% (안전자산),2026-09-05,https://securities.miraeasset.com/hki/hki3028/n01.do
472870,"미래에셋증권,삼성증권",100% (안전자산),2026-09-05,https://securities.miraeasset.com/hki/hki3028/n01.do
491610,"미래에셋증권,삼성증권",100% (안전자산),2026-09-05,https://securities.miraeasset.com/hki/hki3028/n01.do
458210,"미래에셋증권,삼성증권",100% (안전자산),2026-09-05,https://securities.miraeasset.com/hki/hki3028/n01.do
0138Y0,"미래에셋증권,삼성증권",100% (안전자산),2026-09-05,https://securities.miraeasset.com/hki/hki3028/n01.do
0132K0,"미래에셋증권,삼성증권",100% (안전자산),2026-09-05,https://securities.miraeasset.com/hki/hki3028/n01.do
0057H0,"미래에셋증권,삼성증권",100% (안전자산),2026-09-05,https://securities.miraeasset.com/hki/hki3028/n01.do
455960,"미래에셋증권,삼성증권",100% (안전자산),2026-09-05,https://securities.miraeasset.com/hki/hki3028/n01.do
472830,"미래에셋증권,삼성증권",100% (안전자산),2026-09-05,https://securities.miraeasset.com/hki/hki3028/n01.do
468630,"미래에셋증권,삼성증권",100% (안전자산),2026-09-05,https://securities.miraeasset.com/hki/hki3028/n01.do
0218J0,"미래에셋증권,삼성증권",100% (안전자산),2026-09-05,https://securities.miraeasset.com/hki/hki3028/n01.do
