ticker,shares,nav,bas_dt
0000D0,6250000,8991.63,20260923
0000H0,1150000,10085.69,20260923
0000J0,4000000,27495.0,20260923
0000Y0,1210000,102057.64,20260923
0000Z0,5850000,8152.1,20260923
0001P0,1120000,8544.07,20260923
0002C0,1080000,10189.95,20260923
0004G0,1500000,8644.91,20260923
0005A0,21700000,9313.39,20260923
0005C0,650000,11253.19,20260923
0005D0,10500000,14396.91,20260923
0005G0,3450000,55522.05,20260923
0007F0,63880000,10189.97,20260923
0007G0,3050000,13063.46,20260923
0007N0,800000,113722.36,20260923
0008E0,750000,11519.2,20260923
0008S0,31300000,9528.16,20260923
0008T0,5700000,17381.74,20260923
0013P0,1100000,11930.84,20260923
0013R0,3600000,7815.45,20260923
0015B0,32300000,19703.13,20260923
0015E0,500000,10585.19,20260923
0015F0,1200000,10619.91,20260923
0015K0,700000,6892.12,20260923
0016X0,8182000,51523.47,20260923
0017Y0,869000,94022.49,20260923
0018C0,7650000,10395.76,20260923
0018Z0,1000000,18177.48,20260923
0019K0,43150000,13575.06,20260923
0020H0,2100000,22599.78,20260923
0022T0,5700000,12890.15,20260923
0023A0,17450000,24364.23,20260923
0023B0,2100000,16447.26,20260923
0025N0,65650000,11951.18,20260923
0026E0,1850000,11686.92,20260923
0026S0,27100000,12791.75,20260923
0028X0,1150000,11200.37,20260923
0035T0,4850000,19323.85,20260923
0036R0,5550000,20259.33,20260923
0036Z0,550000,11948.3,20260923
0038A0,18950000,15631.42,20260923
0040S0,2500000,23845.98,20260923
0040X0,18500000,9409.67,20260923
0040Y0,45450000,8025.51,20260923
0041D0,3750000,14032.78,20260923
0041E0,8600000,16342.44,20260923
0043B0,30452000,103777.94,20260923
0043Y0,17150000,19610.37,20260923
0046A0,40860000,9424.45,20260923
0046Y0,4300000,12353.23,20260923
0047A0,15100000,12548.17,20260923
0047N0,700000,9391.01,20260923
0047P0,1550000,14873.11,20260923
0047R0,1650000,15630.62,20260923
0048J0,67325000,13570.77,20260923
0048K0,17900000,7941.16,20260923
0049K0,2450000,11007.94,20260923
0049M0,7050000,11134.97,20260923
0050E0,500000,8234.18,20260923
0051A0,600000,24933.6,20260923
0051G0,12400000,12309.43,20260923
0052D0,21800000,15246.82,20260923
0052S0,28200000,11451.43,20260923
0052T0,1790000,50788.12,20260923
0053L0,26850000,9035.25,20260923
0053M0,450000,12961.86,20260923
0057H0,6800000,11531.72,20260923
0060H0,31400000,12616.36,20260923
0061Z0,14236000,51090.68,20260923
0064K0,13020000,12308.92,20260923
0065G0,2150000,8345.46,20260923
0066W0,7250000,12569.82,20260923
0067V0,2200000,9309.86,20260923
0067Y0,900000,9622.46,20260923
0068M0,900000,11746.66,20260923
0069M0,14400000,13835.04,20260923
0072R0,93500000,12636.65,20260923
0073X0,550000,8849.62,20260923
