ticker,shares,nav,bas_dt
0000D0,6900000,8883.56,20260917
0000H0,1150000,10018.76,20260917
0000J0,4000000,28751.58,20260917
0000Y0,1210000,101965.05,20260917
0000Z0,5850000,8306.27,20260917
0001P0,1120000,8530.33,20260917
0002C0,1080000,9915.25,20260917
0004G0,1500000,8810.64,20260917
0005A0,21500000,9260.03,20260917
0005C0,650000,11269.63,20260917
0005D0,10500000,14552.98,20260917
0005G0,3450000,50131.71,20260917
0007F0,63800000,10184.29,20260917
0007G0,3050000,12731.77,20260917
0007N0,850000,106900.78,20260917
0008E0,950000,11576.04,20260917
0008S0,32200000,9726.04,20260917
0008T0,5700000,17614.61,20260917
0013P0,1100000,12376.07,20260917
0013R0,3600000,7755.71,20260917
0015B0,32250000,18311.52,20260917
0015E0,500000,10384.79,20260917
0015F0,1200000,10421.34,20260917
0015K0,700000,6901.73,20260917
0016X0,8312000,51461.44,20260917
0017Y0,869000,93697.18,20260917
0018C0,7600000,10630.3,20260917
0018Z0,1000000,17425.79,20260917
0019K0,42750000,13099.72,20260917
0020H0,2150000,20768.12,20260917
0022T0,5700000,12835.94,20260917
0023A0,17400000,23189.74,20260917
0023B0,2100000,15538.97,20260917
0025N0,65550000,11855.11,20260917
0026E0,1850000,11719.79,20260917
0026S0,26700000,12641.51,20260917
0028X0,1150000,11303.51,20260917
0035T0,4850000,19080.69,20260917
0036R0,5600000,19163.33,20260917
0036Z0,550000,12397.1,20260917
0038A0,18950000,14766.85,20260917
0040S0,2550000,23349.53,20260917
0040X0,18450000,9325.82,20260917
0040Y0,45050000,7973.74,20260917
0041D0,3900000,13973.11,20260917
0041E0,8700000,15873.51,20260917
0043B0,29441000,103666.06,20260917
0043Y0,17500000,19069.7,20260917
0046A0,39010000,9564.45,20260917
0046Y0,4300000,12350.47,20260917
0047A0,15100000,12534.71,20260917
0047N0,700000,9203.38,20260917
0047P0,1550000,14345.78,20260917
0047R0,1650000,15070.44,20260917
0048J0,62650000,13800.12,20260917
0048K0,18000000,7830.35,20260917
0049K0,2450000,11008.56,20260917
0049M0,7050000,11090.69,20260917
0050E0,500000,8401.13,20260917
0051A0,600000,22658.61,20260917
0051G0,12300000,12033.33,20260917
0052D0,21850000,15498.86,20260917
0052S0,27900000,11491.13,20260917
0052T0,1790000,50727.85,20260917
0053L0,26900000,8969.06,20260917
0053M0,450000,12778.44,20260917
0057H0,6900000,11583.11,20260917
0060H0,31400000,12506.3,20260917
0061Z0,14164000,51047.04,20260917
0064K0,12990000,12392.06,20260917
0065G0,2550000,8422.59,20260917
0066W0,7200000,12508.07,20260917
0067V0,2200000,9270.2,20260917
0067Y0,900000,9628.82,20260917
0068M0,900000,11696.15,20260917
0069M0,14400000,13240.32,20260917
0072R0,93200000,12801.8,20260917
0073X0,550000,8760.43,20260917
0074K0,7450000,16699.07,20260917
0078V0,500000,8965.84,20260917
0079X0,350000,9413.7,20260917
0080G0,34900000,10325.74,20260917
0080X0,7000000,10771.51,20260917
0080Y0,12600000,8840.99,20260917
0082F0,700000,10116.12,20260917
0082V0,16650000,11083.88,20260917
0083S0,2800000,10999.28,20260917
0084D0,800000,11202.73,20260917
0084E0,1450000,10110.03,20260917
0085N0,3600000,9593.63,20260917
0085P0,11500000,9669.78,20260917
0086B0,4900000,9390.65,20260917
0086C0,1750000,9761.38,20260917
0087F0,500000,11588.51,20260917
0088N0,1250000,10861.36,20260917
0089B0,3000000,11118.88,20260917
0089C0,3800000,11259.67,20260917
0089D0,16900000,13659.91,20260917
0090B0,2000000,6979.89,20260917
0091C0,19910000,9361.28,20260917
0091M0,12830000,10165.42,20260917
0091P0,35550000,18121.6,20260917
0092B0,8300000,16505.24,20260917
0092C0,4562000,50271.58,20260917
0093A0,5500000,32896.83,20260917
0093B0,850000,12443.08,20260917
0093D0,1300000,17603.77,20260917
0094K0,2805000,99438.21,20260917
0094L0,1400000,7056.8,20260917
0094M0,20050000,17068.32,20260917
0094X0,900000,8139.33,20260917
0097L0,1950000,12410.35,20260917
0098F0,17650000,16770.62,20260917
0098N0,6050000,13054.35,20260917
0098Z0,750000,90937.91,20260917
0099L0,1754000,99458.38,20260917
0100K0,5800000,6255.53,20260917
0101N0,31450000,20333.06,20260917
0102A0,8150000,8844.09,20260917
0102X0,600000,9078.0,20260917
0103T0,2950000,8134.13,20260917
0104G0,2350000,5817.85,20260917
0104H0,12200000,11636.88,20260917
0104N0,10300000,20429.8,20260917
0104P0,1700000,11066.88,20260917
0105D0,1900000,8963.12,20260917
0105E0,41300000,12951.55,20260917
0107F0,2550000,11172.92,20260917
0111J0,4350000,12001.06,20260917
0111P0,28400000,10713.9,20260917
0112X0,1000000,39987.53,20260917
0113D0,5750000,11791.25,20260917
0113G0,900000,11281.67,20260917
0113P0,518000,102523.99,20260917
0114X0,650000,8920.78,20260917
0115C0,2350000,10853.51,20260917
0115D0,25600000,7775.32,20260917
0115E0,4350000,13861.64,20260917
0117L0,85640000,10165.99,20260917
0117V0,53550000,18728.32,20260917
0118S0,4650000,10456.2,20260917
0118Z0,5950000,8512.26,20260917
0119H0,28030000,9901.49,20260917
0120J0,1250000,7726.05,20260917
0122W0,1994000,51043.4,20260917
0123G0,20450000,5946.16,20260917
0123S0,6200000,10198.45,20260917
0127M0,11850000,12158.36,20260917
0127P0,66800000,10291.99,20260917
0127R0,1350000,15895.59,20260917
0127T0,1200000,10893.79,20260917
0127V0,1250000,10633.08,20260917
0128D0,700000,6533.51,20260917
0131A0,550000,7455.75,20260917
0131V0,32550000,10767.97,20260917
0131W0,1349000,102223.32,20260917
0132D0,550000,9277.92,20260917
0132H0,5850000,7335.33,20260917
0132K0,13850000,7916.27,20260917
0133E0,1050000,8464.14,20260917
0135Y0,1107000,100146.65,20260917
0137V0,8900000,11098.83,20260917
0137W0,2600000,10236.93,20260917
0138D0,550000,12380.15,20260917
0138T0,3500000,9301.3,20260917
0138Y0,11100000,9681.49,20260917
0139F0,10578000,102206.14,20260917
0139P0,3700000,13521.0,20260917
0141S0,6300000,8919.01,20260917
0141T0,840000,50177.55,20260917
0142D0,9300000,10128.58,20260917
0144L0,36500000,9392.82,20260917
0144M0,2750000,6500.09,20260917
0148J0,67500000,9454.28,20260917
0150K0,2800000,10954.66,20260917
0151P0,9900000,14183.0,20260917
0151S0,13650000,14708.89,20260917
0152E0,2350000,10743.07,20260917
0153K0,12000000,12330.56,20260917
0153P0,1450000,9458.91,20260917
0153X0,1900000,11165.92,20260917
0154F0,2850000,12365.41,20260917
0154H0,550000,8576.91,20260917
0155M0,4500000,6206.13,20260917
0155N0,3900000,7650.0,20260917
0162L0,8100000,13678.78,20260917
0162M0,42220000,10041.2,20260917
0162Y0,34150000,7470.1,20260917
0162Z0,302900000,13402.92,20260917
0163Y0,50050000,9207.82,20260917
0164G0,2100000,12658.35,20260917
0166N0,3500000,8001.23,20260917
0166S0,5250000,10967.75,20260917
0166T0,650000,9591.14,20260917
0167A0,312700000,17042.5,20260917
0167B0,55000000,11543.28,20260917
0167Z0,46600000,7391.63,20260917
0168K0,21070000,5728.43,20260917
0172V0,7100000,8271.48,20260917
0172Y0,800000,9342.55,20260917
0173Y0,36200000,10656.44,20260917
