ticker,shares,nav,bas_dt
0000D0,6900000,9017.22,20260918
0000H0,1150000,10184.25,20260918
0000J0,4000000,28592.43,20260918
0000Y0,1210000,102003.78,20260918
0000Z0,5850000,8156.8,20260918
0001P0,1120000,8473.75,20260918
0002C0,1080000,10180.6,20260918
0004G0,1500000,8795.08,20260918
0005A0,21500000,9373.62,20260918
0005C0,650000,11316.38,20260918
0005D0,10550000,14768.52,20260918
0005G0,3450000,51869.77,20260918
0007F0,63850000,10190.13,20260918
0007G0,3050000,13088.98,20260918
0007N0,800000,110118.9,20260918
0008E0,950000,11659.85,20260918
0008S0,32200000,9745.05,20260918
0008T0,5450000,17678.69,20260918
0013P0,1100000,12420.13,20260918
0013R0,3600000,7866.58,20260918
0015B0,32150000,18907.88,20260918
0015E0,500000,10505.5,20260918
0015F0,1200000,10516.85,20260918
0015K0,700000,6961.92,20260918
0016X0,8312000,51496.83,20260918
0017Y0,869000,93884.55,20260918
0018C0,7600000,10462.22,20260918
0018Z0,1000000,18111.9,20260918
0019K0,42800000,13292.53,20260918
0020H0,2150000,21771.73,20260918
0022T0,5700000,13066.56,20260918
0023A0,17400000,24373.25,20260918
0023B0,2100000,16384.73,20260918
0025N0,65550000,11938.54,20260918
0026E0,1850000,11793.91,20260918
0026S0,27000000,12795.56,20260918
0028X0,1150000,11309.58,20260918
0035T0,4850000,19285.6,20260918
0036R0,5600000,19553.28,20260918
0036Z0,550000,12474.77,20260918
0038A0,18950000,15117.73,20260918
0040S0,2550000,23678.39,20260918
0040X0,18550000,9418.49,20260918
0040Y0,45200000,7998.73,20260918
0041D0,3850000,14067.92,20260918
0041E0,8600000,16156.04,20260918
0043B0,29233000,103706.15,20260918
0043Y0,17400000,19700.9,20260918
0046A0,39160000,9573.16,20260918
0046Y0,4300000,12456.22,20260918
0047A0,15100000,12781.9,20260918
0047N0,700000,9371.27,20260918
0047P0,1550000,14622.19,20260918
0047R0,1650000,15320.02,20260918
0048J0,63350000,13814.05,20260918
0048K0,18000000,8087.65,20260918
0049K0,2450000,11055.78,20260918
0049M0,7050000,11169.86,20260918
0050E0,500000,8385.14,20260918
0051A0,600000,23413.0,20260918
0051G0,12350000,12408.42,20260918
0052D0,21800000,15348.54,20260918
0052S0,28100000,11565.34,20260918
0052T0,1790000,50757.9,20260918
0053L0,26950000,9232.26,20260918
0053M0,450000,12808.19,20260918
0057H0,6800000,11649.1,20260918
0060H0,31400000,12634.03,20260918
0061Z0,14164000,51062.02,20260918
0064K0,12990000,12723.0,20260918
0065G0,2550000,8435.4,20260918
0066W0,7200000,12730.09,20260918
0067V0,2200000,9367.14,20260918
0067Y0,900000,10032.73,20260918
0068M0,900000,11802.58,20260918
0069M0,14600000,13480.63,20260918
0072R0,93350000,13024.49,20260918
0073X0,550000,8844.91,20260918
0074K0,7450000,17074.38,20260918
0078V0,500000,9117.85,20260918
0079X0,350000,9609.49,20260918
0080G0,34900000,10433.11,20260918
0080X0,7000000,10854.19,20260918
0080Y0,12800000,8484.07,20260918
0082F0,700000,10203.96,20260918
0082V0,16750000,11221.76,20260918
0083S0,2800000,11911.43,20260918
0084D0,800000,11285.38,20260918
0084E0,1450000,10139.75,20260918
0085N0,3600000,9640.29,20260918
0085P0,11600000,9719.71,20260918
0086B0,4900000,9361.28,20260918
0086C0,1750000,9746.78,20260918
0087F0,500000,11746.62,20260918
0088N0,1250000,10938.41,20260918
0089B0,3000000,11224.64,20260918
0089C0,3800000,11397.22,20260918
0089D0,16700000,13406.4,20260918
0090B0,2000000,7127.16,20260918
0091C0,19910000,9405.12,20260918
0091M0,12830000,10169.19,20260918
0091P0,35650000,18184.48,20260918
0092B0,8300000,16483.68,20260918
0092C0,4566000,50298.07,20260918
0093A0,5500000,33491.1,20260918
0093B0,850000,12684.07,20260918
0093D0,1300000,18045.51,20260918
0094K0,2800000,99499.91,20260918
0094L0,1400000,7045.22,20260918
0094M0,20100000,17306.97,20260918
